"Module 1","Module 2","Count","Semester"
"DSA4263","ST2132",0,2020
"ST1232","ST2132",0,2020
"ST2131&MA2216","ST2132",1,2020
"ST2132","ST2132",210,2020
"ST2137","ST2132",9,2020
"ST2334","ST2132",0,2020
"ST3131","ST2132",59,2020
"ST3232","ST2132",1,2020
"ST3236&MA3238","ST2132",23,2020
"ST3239","ST2132",14,2020
"ST3241","ST2132",2,2020
"ST3244","ST2132",0,2020
"ST3246","ST2132",0,2020
"ST3247","ST2132",19,2020
"ST4232","ST2132",0,2020
"ST4234","ST2132",0,2020
"ST4238&MA4251","ST2132",0,2020
"ST4242","ST2132",0,2020
"ST4248","ST2132",0,2020
"DSA2101","ST2137",1,2020
"DSA4212","ST2137",2,2020
"DSA4263","ST2137",2,2020
"ST1232","ST2137",0,2020
"ST2131&MA2216","ST2137",12,2020
"ST2132","ST2137",9,2020
"ST2137","ST2137",55,2020
"ST2334","ST2137",0,2020
"ST3131","ST2137",3,2020
"ST3232","ST2137",1,2020
"ST3236&MA3238","ST2137",4,2020
"ST3239","ST2137",0,2020
"ST3241","ST2137",2,2020
"ST3244","ST2137",1,2020
"ST3246","ST2137",0,2020
"ST3247","ST2137",3,2020
"ST4232","ST2137",0,2020
"ST4234","ST2137",2,2020
"ST4238&MA4251","ST2137",1,2020
"ST4242","ST2137",0,2020
"ST4248","ST2137",5,2020
"DSA2101","ST2334",0,2020
"DSA4212","ST2334",0,2020
"DSA4263","ST2334",0,2020
"ST1232","ST2334",0,2020
"ST2131&MA2216","ST2334",0,2020
"ST2132","ST2334",0,2020
"ST2137","ST2334",0,2020
"ST2334","ST2334",604,2020
"ST3131","ST2334",0,2020
"ST3232","ST2334",0,2020
"ST3236&MA3238","ST2334",0,2020
"ST3239","ST2334",0,2020
"ST3241","ST2334",0,2020
"ST3244","ST2334",0,2020
"ST3246","ST2334",0,2020
"ST3247","ST2334",0,2020
"ST4232","ST2334",0,2020
"ST4234","ST2334",0,2020
"ST4238&MA4251","ST2334",0,2020
"ST4242","ST2334",0,2020
"ST4248","ST2334",0,2020
"DSA2101","ST3131",65,2020
"DSA4212","ST3131",9,2020
"DSA4263","ST3131",0,2020
"ST1232","ST3131",0,2020
"ST2131&MA2216","ST3131",1,2020
"ST2132","ST3131",59,2020
"ST2137","ST3131",3,2020
"ST2334","ST3131",0,2020
"ST3131","ST3131",238,2020
"ST3232","ST3131",4,2020
"ST3236&MA3238","ST3131",26,2020
"ST3239","ST3131",15,2020
"ST3241","ST3131",0,2020
"ST3244","ST3131",8,2020
"ST3246","ST3131",2,2020
"ST3247","ST3131",14,2020
"ST4232","ST3131",2,2020
"ST4234","ST3131",7,2020
"ST4238&MA4251","ST3131",1,2020
"ST4242","ST3131",0,2020
"ST4248","ST3131",1,2020
"DSA2101","ST3232",1,2020
"DSA4212","ST3232",3,2020
"DSA4263","ST3232",3,2020
"ST1232","ST3232",0,2020
"ST2131&MA2216","ST3232",0,2020
"ST2132","ST3232",1,2020
"ST2137","ST3232",1,2020
"ST2334","ST3232",0,2020
"ST3131","ST3232",4,2020
"ST3232","ST3232",40,2020
"ST3236&MA3238","ST3232",5,2020
"ST3239","ST3232",9,2020
"ST3241","ST3232",4,2020
"ST3244","ST3232",4,2020
"ST3246","ST3232",0,2020
"ST3247","ST3232",2,2020
"ST4232","ST3232",8,2020
"ST4234","ST3232",6,2020
"ST4238&MA4251","ST3232",0,2020
"ST4242","ST3232",1,2020
"ST4248","ST3232",6,2020
"DSA2101","ST3236.MA3238",0,2020
"DSA4212","ST3236.MA3238",0,2020
"DSA4263","ST3236.MA3238",0,2020
"ST1232","ST3236.MA3238",1,2020
"ST2131&MA2216","ST3236.MA3238",1,2020
"ST2132","ST3236.MA3238",23,2020
"ST2137","ST3236.MA3238",4,2020
"ST2334","ST3236.MA3238",0,2020
"ST3131","ST3236.MA3238",26,2020
"ST3232","ST3236.MA3238",5,2020
"ST3236&MA3238","ST3236.MA3238",97,2020
"ST3239","ST3236.MA3238",10,2020
"ST3241","ST3236.MA3238",4,2020
"ST3244","ST3236.MA3238",9,2020
"ST3246","ST3236.MA3238",2,2020
"ST3247","ST3236.MA3238",12,2020
"ST4232","ST3236.MA3238",4,2020
"ST4234","ST3236.MA3238",14,2020
"ST4238&MA4251","ST3236.MA3238",1,2020
"ST4242","ST3236.MA3238",0,2020
"ST4248","ST3236.MA3238",7,2020
"DSA2101","ST3239",6,2020
"DSA4212","ST3239",6,2020
"DSA4263","ST3239",1,2020
"ST1232","ST3239",0,2020
"ST2131&MA2216","ST3239",0,2020
"ST2132","ST3239",14,2020
"ST2137","ST3239",0,2020
"ST2334","ST3239",0,2020
"ST3131","ST3239",15,2020
"ST3232","ST3239",9,2020
"ST3236&MA3238","ST3239",10,2020
"ST3239","ST3239",58,2020
"ST3241","ST3239",4,2020
"ST3244","ST3239",7,2020
"ST3246","ST3239",3,2020
"ST3247","ST3239",6,2020
"ST4232","ST3239",6,2020
"ST4234","ST3239",9,2020
"ST4238&MA4251","ST3239",0,2020
"ST4242","ST3239",0,2020
"ST4248","ST3239",3,2020
"DSA2101","ST3241",0,2020
"DSA4212","ST3241",0,2020
"DSA4263","ST3241",0,2020
"ST1232","ST3241",0,2020
"ST2131&MA2216","ST3241",0,2020
"ST2132","ST3241",2,2020
"ST2137","ST3241",2,2020
"ST2334","ST3241",0,2020
